lon,lat
95.34944444,27.49277778
84.79191944,19.31195556
77.3819,28.67894167
76.90621389,15.98694444
94.21638889,26.75583333
91.76832222,26.16511111
77.72281389,11.33913056
18.51957222,73.93216944
77.76944444,11.33611111
77.00574444,20.70556389
94.90729444,27.47924444
73.938,18.55708333
78.44888889,17.415
77.68138889,12.91277778
78.34167222,17.43594167
88.36339167,22.51698056
73.93216944,18.51957222
75.82947222,26.89494722
72.98634444,21.30614722
91.777075,26.17451944
77.66305556,27.50027778
84.99944444,24.79138889
78.55418056,17.35094722
74.83833333,12.85805556
77.61617778,12.93680833
77.69647222,12.996425
74.83833333,12.85805556
23.04586111,72.56101667
86.97524167,25.24264444
76.38736111,15.27024444
77.62436944,13.04565556
78.48083333,17.53833333
80.94565278,26.85644444
73.06673889,19.03071944
78.06003056,30.34035833
78.06003056,30.34038611
78.44888889,17.415
78.50768056,17.37309722
72.93169722,19.13777778
75.77223333,26.95458611
78.48666944,17.38504167
72.87765556,19.07598333
77.0105,11.02480556
78.13611111,9.938055556
77.58983889,13.06361944
76.62066944,12.32142778
77.740625,8.719908333
79.82821111,11.930375
77.64170833,12.96553889
72.93146944,19.14158056
73.81798056,15.49316667
88.34398333,22.56782778
78.11235,27.91319167
78.50879722,17.44710833
86.41510833,23.78905556
72.80201667,21.17552778
76.65615833,10.77376111
78.04173611,15.82112778
77.71789444,8.728197222
78.44899444,17.41500556
77.06839722,28.63176944
74.23101111,16.69871944
77.06839722,28.63176944
72.88868611,19.08726389
75.98576389,25.17721111
78.06003056,30.34038611
72.86472778,21.21608333
73.16551111,22.290525
70.764775,22.27050278
79.13555556,21.24944444
75.87856667,22.72134722
72.90714722,19.08555556
76.99049722,29.69187222
86.20499444,22.80691111
72.55731389,23.02365556
75.579875,31.30665
77.02088611,28.98513056
76.62115,28.19516389
77.02088611,28.98513056
76.14054167,28.8004
75.90396111,31.52940278
76.78630556,30.36646667
79.82444444,11.94130556
78.36842778,17.43445833
94.21202222,26.75398333
91.79965278,26.12328611
78.515075,17.40488889
83.36711111,26.75445278
78.09466389,9.926291667
76.90516667,15.15296111
72.7652,21.15451667
77.57125556,12.94558889
85.87004167,20.47996667
78.36842778,17.43445833
81.68393889,21.2406
78.34561389,17.49415556
80.25711389,13.08672222
76.33884722,9.498066667
77.34895278,11.095275
88.33858056,22.60354444
80.0466,15.51306944
76.583825,18.4025
88.35895,22.57402222
88.35895,22.57402222
74.74904444,13.33830278
80.04959167,15.50270556
80.20165278,12.96536111
86.69159167,24.49068056
60.39972222,23.83722778
79.02245833,28.79445
78.82923889,14.45165833
72.75712222,21.14558056
84.65573889,25.55864444
80.31318889,26.46488611
77.54690833,29.95656944
82.98837222,25.31749167
78.529,17.3956
70.79988611,22.29805833
77.29421944,30.16992778
78.41168611,17.49494167
77.28110278,30.13200833
78.43598889,17.43657778
78.44810556,17.4385
78.5112,17.49944444
78.47444444,17.39361111
78.44416667,17.44083333
78.48638889,17.46944444
78.51166667,17.40666667
78.50805556,17.34611111
78.44916667,17.41416667
78.56888889,17.34722222
78.52083333,17.36972222
78.54722222,17.45722222
78.56388889,17.48027778
78.57555556,17.33166667
78.5575,17.40555556
78.52722222,17.36694444
78.43972222,17.38888889
78.54527778,17.36583333
78.53166667,17.45055556
78.43583333,17.44583333
78.49666667,17.50638889
78.44861111,17.39888889
78.38472222,17.49888889
80.17194444,13.04055556
80.20138889,13.09472222
80.21611111,13.03166667
80.25472222,13.08138889
80.13472222,12.94388889
80.25555556,12.99083333
80.1875,13.08444444
80.19520278,13.0595
80.26194444,12.98583333
80.25111111,13.03888889
80.23833333,13.04138889
80.22222222,12.98277778
80.21694444,13.09222222
80.1875,12.96222222
80.15666667,13.03638889
80.16527778,13.08138889
80.18805278,12.98555278
80.23611111,13.02916667
80.26931111,13.04755
80.22972222,13.06277778
80.21027778,13.07305556
77.26722222,28.56972222
77.19083333,28.70861111
77.11305556,28.63722222
77.14194444,28.65305556
77.50861111,28.47805556
77.27888889,28.4675
77.29527778,28.66527778
77.21055556,28.64555556
77.19944444,28.68027778
77.12861111,28.70138889
77.17638889,28.71555556
77.26722222,28.65972222
77.09214167,28.85695278
77.20556667,28.64967222
77.02694444,28.46055556
75.8375,26.92055278
75.83277778,26.89222222
75.77,26.847775
75.74555278,26.92360833
75.76055556,26.97
75.80916389,26.84666389
75.82638611,26.89555278
83.31466389,17.74293056
83.26138889,17.74583333
83.25676667,17.73915556
83.33751389,17.74343611
83.3325,17.72305556
80.62861111,16.51861111
80.63694444,16.50972222
80.61194444,16.52
80.65,16.51888889
80.435,16.3025
80.44083333,16.30333333
80.44944444,16.30083333
75.780125,26.96109722
75.74360833,26.91
75.78138889,26.88138889
75.76971944,26.892775
75.79663611,26.90074167
78.50388889,17.44916667
78.56944444,17.33527778
78.55888889,17.37777778
78.58194444,17.48305556
78.39527778,17.365
78.41166667,17.41666667
78.54444444,17.36305556
78.42361111,17.45055556
85.34861111,23.35527778
85.31777778,23.35138889
85.33555278,23.375
85.33555278,23.39610833
85.33388889,23.37166667
77.61138611,12.99694167
77.53722222,12.9875
77.63361111,12.92611111
77.55611111,12.93805556
77.63583056,12.977775
77.56455278,13.00678611
77.57111111,13.00416667
77.54860833,12.9975
77.59777778,13.05
77.54333333,13.00861111
77.51722222,12.92555556
77.56153611,13.02911944
77.55888889,13.08027778
77.63568056,13.03172222
77.50743889,13.04867778
77.71805556,12.96527778
77.75021944,12.97076667
77.59716944,13.066325
77.545,12.97360833
77.585,12.93305278
77.62110833,12.94166389
77.575275,12.93666389
76.66694444,12.30833333
76.64,12.29555556
74.89085278,31.6634
74.85495278,31.63370278
74.87916667,31.6525
77.29722222,30.165
75.55388889,31.31222222
75.59527778,31.30166667
75.59,31.31722222
75.57083333,31.34777778
75.61861111,31.34527778
75.44111111,31.42638889
75.86811111,30.91163611
75.840275,30.875275
75.58083333,31.30027778
75.84833056,30.88583056
80.17027778,13.08333333
72.99658889,19.08306944
72.86,19.40444444
72.96666667,19.18916667
73.16305556,19.22111111
72.98305556,19.20944444
72.8525,19.30583333
73.01222222,19.09527778
72.95805556,19.17555556
72.81333333,18.98805556
72.85916667,19.27777778
72.97916667,19.24972222
73.78055556,18.54472222
73.87638889,18.535
73.78222222,18.55972222
73.85666667,18.52611111
73.84888889,18.48972222
73.89805556,18.48166667
72.52,23.02138889
72.52055556,23.04055556
72.53055556,23.06444444
72.53222222,23.05305556
72.55583333,23.00972222
72.58083333,23.07083333
